,F1_score,F1_score,Precision,Precision,Recall,Recall,Accuracy,Accuracy
,mean,std,mean,std,mean,std,mean,std
Machine_Learning,,,,,,,,
Decision_Tree,0.3783,0.2533,0.381,0.2531,0.3769,0.2542,0.8328,0.1213
Gradient_Boosting,0.478,0.2566,0.5945,0.2541,0.422,0.263,0.8623,0.0848
LightGBM,0.4559,0.2886,0.4727,0.2806,0.4613,0.3048,0.8697,0.0962
Logistic_Regression,0.4843,0.2461,0.4176,0.2565,0.7103,0.1993,0.7727,0.0727
Random_Forest,0.3978,0.2946,0.5621,0.3324,0.3423,0.2872,0.8803,0.0903
SVM,0.5066,0.2494,0.4421,0.2599,0.6781,0.208,0.8067,0.0714
Weighted_Ensemble,0.5321,0.2332,0.5637,0.2245,0.5236,0.2376,0.8584,0.0811
XGBoost,0.5147,0.2388,0.5473,0.2213,0.5004,0.254,0.8537,0.0894
